,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2019-01-01 00:00:00+01:00,304.0,1326.0,154.0,0.0,0.0,0.0,2712.0,139.0,22.0,0.0,0.0,100.0,284.0
2019-01-01 00:15:00+01:00,304.0,1270.0,156.0,0.0,0.0,0.0,2709.0,118.0,22.0,0.0,0.0,100.0,256.0
2019-01-01 00:30:00+01:00,304.0,1274.0,156.0,0.0,0.0,0.0,2686.0,108.0,22.0,0.0,0.0,100.0,232.0
2019-01-01 00:45:00+01:00,304.0,1209.0,156.0,0.0,0.0,0.0,2668.0,124.0,22.0,0.0,0.0,100.0,208.0
2019-01-01 01:00:00+01:00,304.0,1045.0,154.0,0.0,0.0,0.0,2706.0,202.0,22.0,0.0,0.0,100.0,200.0
2019-01-01 01:15:00+01:00,304.0,1002.0,154.0,0.0,0.0,0.0,2702.0,156.0,22.0,0.0,0.0,100.0,192.0
2019-01-01 01:30:00+01:00,304.0,927.0,155.0,0.0,0.0,0.0,2724.0,132.0,22.0,0.0,0.0,100.0,180.0
2019-01-01 01:45:00+01:00,304.0,767.0,156.0,0.0,0.0,0.0,2731.0,149.0,22.0,0.0,0.0,100.0,180.0
2019-01-01 02:00:00+01:00,304.0,648.0,155.0,0.0,0.0,0.0,2752.0,124.0,22.0,0.0,0.0,100.0,156.0
2019-01-01 02:15:00+01:00,304.0,614.0,156.0,0.0,0.0,0.0,2760.0,79.0,22.0,0.0,0.0,100.0,140.0
2019-01-01 02:30:00+01:00,304.0,595.0,155.0,0.0,0.0,0.0,2752.0,56.0,22.0,0.0,0.0,100.0,132.0
2019-01-01 02:45:00+01:00,304.0,587.0,155.0,0.0,0.0,0.0,2709.0,50.0,22.0,0.0,0.0,100.0,128.0
2019-01-01 03:00:00+01:00,304.0,574.0,155.0,0.0,0.0,0.0,2767.0,84.0,22.0,0.0,0.0,100.0,116.0
2019-01-01 03:15:00+01:00,304.0,575.0,153.0,0.0,0.0,0.0,2759.0,81.0,22.0,0.0,0.0,100.0,100.0
2019-01-01 03:30:00+01:00,304.0,565.0,157.0,0.0,0.0,0.0,2756.0,54.0,22.0,0.0,0.0,100.0,112.0
2019-01-01 03:45:00+01:00,304.0,558.0,156.0,0.0,0.0,0.0,2736.0,53.0,22.0,0.0,0.0,100.0,132.0
2019-01-01 04:00:00+01:00,304.0,457.0,154.0,0.0,0.0,0.0,2754.0,93.0,22.0,0.0,0.0,100.0,140.0
2019-01-01 04:15:00+01:00,300.0,452.0,155.0,0.0,0.0,0.0,2690.0,94.0,22.0,0.0,0.0,100.0,148.0
2019-01-01 04:30:00+01:00,304.0,433.0,154.0,0.0,0.0,0.0,2699.0,77.0,22.0,0.0,0.0,100.0,164.0
