,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2019-01-01 00:00:00+01:00,159.0,1920.0,0.0,0.0,66.0,38.0,2376.0,633.0,0.0,259.0,493.0,272.0
2019-01-01 01:00:00+01:00,159.0,1637.0,0.0,0.0,347.0,39.0,2376.0,673.0,0.0,258.0,500.0,305.0
2019-01-01 02:00:00+01:00,159.0,1587.0,0.0,0.0,298.0,40.0,2383.0,631.0,0.0,259.0,554.0,292.0
2019-01-01 03:00:00+01:00,162.0,1598.0,0.0,0.0,197.0,39.0,2413.0,619.0,0.0,255.0,511.0,343.0
2019-01-01 04:00:00+01:00,165.0,1535.0,0.0,0.0,478.0,37.0,2416.0,619.0,0.0,254.0,609.0,392.0
2019-01-01 05:00:00+01:00,168.0,1566.0,0.0,0.0,250.0,34.0,2438.0,633.0,0.0,259.0,640.0,371.0
2019-01-01 06:00:00+01:00,165.0,1501.0,0.0,0.0,209.0,35.0,2451.0,652.0,0.0,262.0,802.0,412.0
2019-01-01 07:00:00+01:00,165.0,1602.0,0.0,0.0,36.0,35.0,2449.0,667.0,0.0,280.0,875.0,443.0
2019-01-01 08:00:00+01:00,163.0,1652.0,0.0,0.0,14.0,35.0,2449.0,665.0,0.0,292.0,792.0,364.0
2019-01-01 09:00:00+01:00,163.0,1677.0,0.0,0.0,103.0,35.0,2452.0,679.0,13.0,289.0,678.0,398.0
2019-01-01 10:00:00+01:00,167.0,1612.0,0.0,0.0,194.0,37.0,2464.0,690.0,66.0,286.0,819.0,422.0
2019-01-01 11:00:00+01:00,165.0,1698.0,0.0,0.0,584.0,38.0,2493.0,692.0,126.0,287.0,678.0,451.0
2019-01-01 12:00:00+01:00,168.0,1721.0,0.0,0.0,653.0,38.0,2532.0,715.0,121.0,287.0,815.0,504.0
2019-01-01 13:00:00+01:00,169.0,1919.0,0.0,0.0,270.0,37.0,2567.0,715.0,90.0,286.0,774.0,489.0
2019-01-01 14:00:00+01:00,156.0,1865.0,0.0,0.0,396.0,38.0,2570.0,770.0,70.0,289.0,594.0,419.0
2019-01-01 15:00:00+01:00,156.0,2015.0,0.0,0.0,65.0,38.0,2573.0,792.0,54.0,289.0,664.0,430.0
2019-01-01 16:00:00+01:00,153.0,2011.0,0.0,0.0,5.0,38.0,2577.0,763.0,9.0,285.0,942.0,458.0
2019-01-01 17:00:00+01:00,153.0,2107.0,0.0,0.0,62.0,37.0,2573.0,699.0,0.0,285.0,865.0,572.0
2019-01-01 18:00:00+01:00,156.0,2170.0,0.0,0.0,1.0,37.0,2588.0,652.0,0.0,287.0,999.0,635.0
2019-01-01 19:00:00+01:00,153.0,2074.0,0.0,0.0,138.0,36.0,2626.0,632.0,0.0,287.0,1097.0,549.0
2019-01-01 20:00:00+01:00,153.0,2121.0,0.0,0.0,2.0,36.0,2645.0,601.0,0.0,269.0,1134.0,644.0
2019-01-01 21:00:00+01:00,152.0,2223.0,0.0,0.0,246.0,36.0,2675.0,582.0,0.0,258.0,1090.0,700.0
2019-01-01 22:00:00+01:00,155.0,2190.0,0.0,0.0,19.0,36.0,2698.0,569.0,0.0,263.0,1104.0,615.0
2019-01-01 23:00:00+01:00,158.0,2293.0,0.0,0.0,80.0,36.0,2708.0,632.0,0.0,258.0,1058.0,595.0
2019-01-02 00:00:00+01:00,156.0,2583.0,0.0,0.0,30.0,36.0,2711.0,672.0,0.0,258.0,1077.0,518.0
2019-01-02 01:00:00+01:00,153.0,2685.0,0.0,0.0,346.0,36.0,2740.0,672.0,0.0,250.0,1044.0,550.0
2019-01-02 02:00:00+01:00,154.0,2676.0,0.0,0.0,1007.0,36.0,2743.0,642.0,0.0,249.0,1053.0,510.0
2019-01-02 03:00:00+01:00,153.0,2741.0,0.0,0.0,1026.0,36.0,2746.0,644.0,0.0,247.0,1045.0,513.0
2019-01-02 04:00:00+01:00,156.0,2856.0,0.0,0.0,1010.0,36.0,2756.0,636.0,0.0,249.0,1002.0,471.0
2019-01-02 05:00:00+01:00,143.0,3133.0,0.0,0.0,232.0,35.0,2775.0,648.0,0.0,246.0,855.0,467.0
2019-01-02 06:00:00+01:00,130.0,3758.0,0.0,0.0,15.0,34.0,2789.0,718.0,0.0,237.0,906.0,431.0
2019-01-02 07:00:00+01:00,90.0,4290.0,0.0,0.0,247.0,35.0,2793.0,747.0,0.0,256.0,835.0,485.0
2019-01-02 08:00:00+01:00,92.0,4536.0,0.0,0.0,177.0,35.0,2828.0,764.0,0.0,273.0,916.0,524.0
2019-01-02 09:00:00+01:00,110.0,4623.0,0.0,0.0,9.0,35.0,2838.0,791.0,54.0,276.0,863.0,472.0
2019-01-02 10:00:00+01:00,121.0,4750.0,0.0,35.0,12.0,35.0,2840.0,801.0,180.0,271.0,801.0,473.0
2019-01-02 11:00:00+01:00,122.0,4845.0,0.0,153.0,119.0,34.0,2844.0,810.0,294.0,267.0,711.0,437.0
2019-01-02 12:00:00+01:00,122.0,4897.0,0.0,154.0,8.0,35.0,2866.0,798.0,350.0,272.0,803.0,432.0
2019-01-02 13:00:00+01:00,133.0,4920.0,0.0,154.0,201.0,35.0,2906.0,819.0,310.0,276.0,620.0,375.0
2019-01-02 14:00:00+01:00,174.0,4883.0,0.0,153.0,219.0,34.0,2939.0,796.0,247.0,278.0,480.0,372.0
