,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore
2019-01-01 01:00:00+02:00,71.0,48.0,1.0,459.0,5.0,3.0,0.0,7.0,1.0,10.0,238.0
2019-01-01 02:00:00+02:00,71.0,48.0,1.0,484.0,5.0,3.0,0.0,7.0,1.0,10.0,244.0
2019-01-01 03:00:00+02:00,72.0,48.0,1.0,471.0,5.0,3.0,0.0,7.0,1.0,11.0,237.0
2019-01-01 04:00:00+02:00,68.0,48.0,1.0,455.0,4.0,3.0,0.0,7.0,1.0,12.0,227.0
2019-01-01 05:00:00+02:00,70.0,48.0,1.0,461.0,4.0,3.0,0.0,7.0,1.0,14.0,206.0
2019-01-01 06:00:00+02:00,70.0,48.0,1.0,469.0,4.0,3.0,0.0,7.0,1.0,15.0,202.0
2019-01-01 07:00:00+02:00,70.0,48.0,1.0,479.0,4.0,3.0,0.0,7.0,1.0,15.0,199.0
2019-01-01 08:00:00+02:00,69.0,48.0,1.0,615.0,4.0,3.0,0.0,7.0,1.0,16.0,204.0
2019-01-01 09:00:00+02:00,70.0,48.0,1.0,569.0,4.0,3.0,0.0,7.0,1.0,15.0,210.0
2019-01-01 10:00:00+02:00,70.0,48.0,1.0,470.0,4.0,3.0,0.0,7.0,1.0,16.0,194.0
2019-01-01 11:00:00+02:00,70.0,48.0,1.0,458.0,4.0,3.0,0.0,7.0,1.0,15.0,174.0
2019-01-01 12:00:00+02:00,70.0,48.0,1.0,449.0,4.0,3.0,0.0,7.0,1.0,14.0,163.0
2019-01-01 13:00:00+02:00,70.0,48.0,1.0,453.0,4.0,3.0,0.0,7.0,1.0,15.0,136.0
2019-01-01 14:00:00+02:00,70.0,48.0,1.0,466.0,4.0,3.0,0.0,7.0,1.0,15.0,126.0
2019-01-01 15:00:00+02:00,71.0,48.0,1.0,451.0,5.0,3.0,0.0,7.0,1.0,16.0,135.0
2019-01-01 16:00:00+02:00,72.0,48.0,1.0,467.0,5.0,3.0,0.0,7.0,1.0,15.0,136.0
2019-01-01 17:00:00+02:00,72.0,48.0,1.0,468.0,5.0,3.0,0.0,7.0,1.0,15.0,151.0
2019-01-01 18:00:00+02:00,73.0,47.0,1.0,497.0,5.0,3.0,0.0,7.0,1.0,16.0,127.0
2019-01-01 19:00:00+02:00,74.0,47.0,1.0,575.0,5.0,3.0,0.0,7.0,1.0,15.0,148.0
2019-01-01 20:00:00+02:00,74.0,48.0,1.0,579.0,5.0,3.0,0.0,7.0,1.0,15.0,138.0
2019-01-01 21:00:00+02:00,72.0,47.0,1.0,581.0,5.0,3.0,0.0,7.0,1.0,16.0,116.0
2019-01-01 22:00:00+02:00,72.0,47.0,1.0,589.0,5.0,3.0,0.0,7.0,1.0,16.0,120.0
2019-01-01 23:00:00+02:00,72.0,43.0,1.0,522.0,5.0,3.0,0.0,7.0,1.0,16.0,131.0
2019-01-02 00:00:00+02:00,71.0,43.0,1.0,465.0,5.0,3.0,0.0,7.0,1.0,16.0,158.0
2019-01-02 01:00:00+02:00,71.0,43.0,1.0,458.0,5.0,3.0,0.0,7.0,1.0,16.0,151.0
2019-01-02 02:00:00+02:00,70.0,45.0,1.0,459.0,5.0,3.0,0.0,7.0,1.0,16.0,144.0
2019-01-02 03:00:00+02:00,71.0,47.0,1.0,456.0,5.0,3.0,0.0,7.0,1.0,15.0,147.0
2019-01-02 04:00:00+02:00,68.0,47.0,1.0,461.0,4.0,3.0,0.0,7.0,1.0,16.0,140.0
2019-01-02 05:00:00+02:00,69.0,47.0,1.0,467.0,4.0,3.0,0.0,7.0,1.0,17.0,152.0
2019-01-02 06:00:00+02:00,69.0,48.0,1.0,651.0,4.0,3.0,0.0,7.0,1.0,16.0,157.0
2019-01-02 07:00:00+02:00,68.0,48.0,1.0,704.0,4.0,3.0,0.0,7.0,1.0,17.0,147.0
2019-01-02 08:00:00+02:00,68.0,48.0,3.0,726.0,4.0,3.0,0.0,7.0,1.0,17.0,140.0
2019-01-02 09:00:00+02:00,67.0,48.0,3.0,746.0,4.0,3.0,0.0,7.0,1.0,17.0,159.0
2019-01-02 10:00:00+02:00,68.0,48.0,3.0,666.0,4.0,3.0,0.0,7.0,1.0,17.0,179.0
2019-01-02 11:00:00+02:00,68.0,48.0,3.0,645.0,4.0,3.0,0.0,7.0,1.0,17.0,185.0
2019-01-02 12:00:00+02:00,67.0,48.0,3.0,673.0,4.0,3.0,0.0,7.0,1.0,17.0,190.0
2019-01-02 13:00:00+02:00,67.0,48.0,3.0,676.0,4.0,3.0,0.0,7.0,1.0,18.0,208.0
2019-01-02 14:00:00+02:00,68.0,48.0,3.0,674.0,4.0,3.0,0.0,7.0,1.0,18.0,209.0
2019-01-02 15:00:00+02:00,69.0,49.0,3.0,653.0,4.0,3.0,0.0,7.0,1.0,18.0,212.0
2019-01-02 16:00:00+02:00,70.0,47.0,3.0,737.0,5.0,3.0,0.0,7.0,1.0,17.0,211.0
2019-01-02 17:00:00+02:00,70.0,39.0,3.0,730.0,5.0,3.0,0.0,7.0,1.0,17.0,217.0
2019-01-02 18:00:00+02:00,71.0,38.0,3.0,737.0,5.0,3.0,0.0,7.0,1.0,17.0,218.0
2019-01-02 19:00:00+02:00,72.0,38.0,1.0,736.0,5.0,3.0,0.0,7.0,1.0,17.0,218.0
2019-01-02 20:00:00+02:00,72.0,39.0,1.0,736.0,5.0,3.0,0.0,7.0,1.0,16.0,224.0
2019-01-02 21:00:00+02:00,70.0,39.0,1.0,738.0,5.0,3.0,0.0,7.0,1.0,17.0,222.0
2019-01-02 22:00:00+02:00,70.0,39.0,1.0,736.0,5.0,3.0,0.0,7.0,1.0,17.0,220.0
2019-01-02 23:00:00+02:00,71.0,39.0,1.0,740.0,5.0,3.0,0.0,7.0,1.0,17.0,224.0
2019-01-03 00:00:00+02:00,70.0,39.0,1.0,667.0,5.0,3.0,0.0,7.0,1.0,17.0,227.0
2019-01-03 01:00:00+02:00,69.0,39.0,1.0,684.0,5.0,3.0,0.0,7.0,1.0,17.0,216.0
2019-01-03 02:00:00+02:00,69.0,39.0,1.0,687.0,5.0,3.0,0.0,7.0,1.0,17.0,220.0
2019-01-03 03:00:00+02:00,68.0,39.0,1.0,698.0,4.0,3.0,0.0,7.0,1.0,16.0,225.0
2019-01-03 04:00:00+02:00,66.0,39.0,1.0,715.0,4.0,3.0,0.0,7.0,1.0,16.0,222.0
2019-01-03 05:00:00+02:00,68.0,39.0,1.0,719.0,4.0,3.0,0.0,7.0,1.0,16.0,218.0
2019-01-03 06:00:00+02:00,68.0,39.0,1.0,739.0,4.0,3.0,0.0,7.0,1.0,16.0,212.0
2019-01-03 07:00:00+02:00,67.0,39.0,1.0,741.0,4.0,3.0,0.0,7.0,1.0,16.0,206.0
2019-01-03 08:00:00+02:00,67.0,39.0,3.0,743.0,4.0,3.0,0.0,7.0,1.0,17.0,203.0
2019-01-03 09:00:00+02:00,67.0,40.0,3.0,737.0,4.0,3.0,0.0,7.0,1.0,17.0,192.0
2019-01-03 10:00:00+02:00,68.0,40.0,3.0,740.0,4.0,3.0,0.0,7.0,1.0,17.0,187.0
2019-01-03 11:00:00+02:00,68.0,39.0,3.0,732.0,4.0,3.0,0.0,7.0,1.0,16.0,193.0
2019-01-03 12:00:00+02:00,67.0,39.0,3.0,737.0,4.0,3.0,0.0,7.0,1.0,16.0,187.0
2019-01-03 13:00:00+02:00,67.0,39.0,3.0,737.0,4.0,3.0,0.0,7.0,1.0,17.0,182.0
2019-01-03 14:00:00+02:00,67.0,39.0,3.0,739.0,4.0,3.0,0.0,7.0,1.0,17.0,163.0
2019-01-03 15:00:00+02:00,68.0,39.0,3.0,737.0,4.0,3.0,0.0,7.0,1.0,16.0,142.0
2019-01-03 16:00:00+02:00,69.0,40.0,3.0,735.0,5.0,3.0,0.0,7.0,1.0,17.0,129.0
2019-01-03 17:00:00+02:00,69.0,39.0,3.0,735.0,5.0,3.0,0.0,7.0,1.0,16.0,106.0
2019-01-03 18:00:00+02:00,70.0,39.0,3.0,734.0,5.0,3.0,0.0,7.0,1.0,17.0,88.0
2019-01-03 19:00:00+02:00,71.0,39.0,1.0,734.0,5.0,3.0,0.0,7.0,1.0,16.0,73.0
2019-01-03 20:00:00+02:00,72.0,39.0,1.0,760.0,5.0,3.0,0.0,7.0,1.0,16.0,48.0
