,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2019-01-01 00:00:00+01:00,286.0,0.0,0.0,5601.0,1919.0,158.0,0.0,0.0,0.0,107.0,983.0,1683.0,0.0,6073.0,61.0,89.0,31.0,287.0,0.0,3809.0
2019-01-01 01:00:00+01:00,296.0,0.0,0.0,5573.0,1707.0,156.0,0.0,0.0,0.0,60.0,969.0,1676.0,0.0,6072.0,60.0,90.0,31.0,286.0,0.0,3774.0
2019-01-01 02:00:00+01:00,298.0,0.0,0.0,5549.0,1638.0,155.0,0.0,0.0,0.0,499.0,907.0,1124.0,0.0,6073.0,60.0,88.0,23.0,287.0,0.0,3740.0
2019-01-01 03:00:00+01:00,296.0,0.0,0.0,6036.0,1516.0,160.0,0.0,0.0,0.0,1238.0,897.0,830.0,0.0,6073.0,60.0,88.0,15.0,288.0,0.0,3697.0
2019-01-01 04:00:00+01:00,295.0,0.0,0.0,5999.0,1486.0,176.0,0.0,0.0,0.0,1317.0,910.0,944.0,0.0,6073.0,60.0,88.0,15.0,289.0,0.0,3516.0
2019-01-01 05:00:00+01:00,292.0,0.0,0.0,5913.0,1488.0,178.0,0.0,0.0,0.0,1317.0,912.0,898.0,0.0,6074.0,61.0,87.0,15.0,288.0,0.0,3384.0
2019-01-01 06:00:00+01:00,297.0,0.0,0.0,5925.0,1495.0,184.0,0.0,0.0,0.0,906.0,932.0,722.0,0.0,6072.0,61.0,87.0,15.0,288.0,0.0,3367.0
2019-01-01 07:00:00+01:00,294.0,0.0,0.0,5974.0,1425.0,188.0,0.0,0.0,0.0,846.0,930.0,649.0,0.0,6073.0,61.0,89.0,15.0,284.0,0.0,3346.0
2019-01-01 08:00:00+01:00,294.0,0.0,0.0,5560.0,1456.0,189.0,0.0,0.0,0.0,403.0,920.0,689.0,0.0,6073.0,61.0,87.0,39.0,286.0,0.0,3345.0
2019-01-01 09:00:00+01:00,291.0,0.0,0.0,5735.0,1439.0,188.0,0.0,0.0,0.0,533.0,919.0,720.0,0.0,6072.0,62.0,87.0,777.0,286.0,0.0,3154.0
2019-01-01 10:00:00+01:00,293.0,0.0,0.0,6192.0,1465.0,189.0,0.0,0.0,0.0,560.0,926.0,987.0,0.0,6072.0,62.0,89.0,2084.0,286.0,0.0,2547.0
2019-01-01 11:00:00+01:00,294.0,0.0,0.0,6631.0,1573.0,187.0,0.0,0.0,0.0,128.0,910.0,847.0,0.0,6070.0,61.0,90.0,3142.0,276.0,0.0,1930.0
2019-01-01 12:00:00+01:00,292.0,0.0,0.0,6853.0,1694.0,191.0,0.0,0.0,0.0,74.0,921.0,1087.0,0.0,6070.0,61.0,88.0,3814.0,284.0,0.0,1745.0
2019-01-01 13:00:00+01:00,290.0,0.0,0.0,6436.0,1740.0,195.0,0.0,0.0,0.0,165.0,922.0,1290.0,0.0,6072.0,60.0,90.0,3873.0,292.0,0.0,1629.0
2019-01-01 14:00:00+01:00,291.0,0.0,0.0,6645.0,1716.0,194.0,0.0,0.0,0.0,300.0,902.0,1256.0,0.0,6071.0,60.0,88.0,3821.0,292.0,0.0,1589.0
2019-01-01 15:00:00+01:00,290.0,0.0,0.0,6124.0,1622.0,194.0,0.0,0.0,0.0,290.0,903.0,1159.0,0.0,6071.0,60.0,85.0,3603.0,295.0,0.0,1507.0
2019-01-01 16:00:00+01:00,291.0,0.0,0.0,6355.0,1530.0,194.0,0.0,0.0,0.0,381.0,932.0,1325.0,0.0,6071.0,61.0,84.0,2801.0,299.0,0.0,1551.0
