,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2019-01-01 00:00:00+01:00,351.0,2722.0,0.0,207.0,1377.0,3552.0,1054.0,55627.0,0.0,253.0,1622.0
2019-01-01 01:00:00+01:00,352.0,2526.0,1.0,215.0,1536.0,3344.0,740.0,55113.0,0.0,252.0,1637.0
2019-01-01 02:00:00+01:00,352.0,2425.0,1.0,214.0,2372.0,3202.0,463.0,54780.0,0.0,253.0,1567.0
2019-01-01 03:00:00+01:00,351.0,2435.0,0.0,215.0,2667.0,3086.0,145.0,53162.0,0.0,254.0,1556.0
2019-01-01 04:00:00+01:00,353.0,2440.0,0.0,215.0,2885.0,3009.0,97.0,50137.0,0.0,255.0,1595.0
2019-01-01 05:00:00+01:00,353.0,2434.0,1.0,215.0,3043.0,2881.0,119.0,48465.0,0.0,254.0,1719.0
2019-01-01 06:00:00+01:00,352.0,2436.0,0.0,215.0,2956.0,2856.0,159.0,48269.0,0.0,253.0,1794.0
2019-01-01 07:00:00+01:00,353.0,2771.0,1.0,213.0,2818.0,3093.0,103.0,47783.0,0.0,251.0,1780.0
2019-01-01 08:00:00+01:00,352.0,2820.0,2.0,214.0,2775.0,3247.0,240.0,48379.0,132.0,251.0,1730.0
2019-01-01 09:00:00+01:00,353.0,2825.0,6.0,215.0,2688.0,3369.0,541.0,49885.0,503.0,252.0,1670.0
2019-01-01 10:00:00+01:00,352.0,2825.0,7.0,215.0,2645.0,3467.0,568.0,50895.0,1067.0,252.0,1589.0
2019-01-01 11:00:00+01:00,352.0,2843.0,8.0,216.0,2506.0,3429.0,932.0,51689.0,1456.0,250.0,1602.0
2019-01-01 12:00:00+01:00,353.0,2830.0,7.0,216.0,1448.0,3409.0,1393.0,52526.0,1628.0,251.0,1725.0
2019-01-01 13:00:00+01:00,352.0,2807.0,9.0,215.0,1685.0,3223.0,835.0,52413.0,1747.0,250.0,1971.0
2019-01-01 14:00:00+01:00,353.0,2824.0,14.0,216.0,2573.0,3132.0,820.0,52719.0,1474.0,250.0,2096.0
2019-01-01 15:00:00+01:00,352.0,2838.0,18.0,215.0,2632.0,3113.0,386.0,52859.0,904.0,251.0,2108.0
2019-01-01 16:00:00+01:00,352.0,2821.0,20.0,215.0,2758.0,3081.0,541.0,53311.0,324.0,252.0,2104.0
2019-01-01 17:00:00+01:00,352.0,2750.0,20.0,215.0,1457.0,3468.0,688.0,54453.0,107.0,251.0,2185.0
2019-01-01 18:00:00+01:00,353.0,3101.0,22.0,215.0,614.0,4287.0,1251.0,55312.0,0.0,252.0,2444.0
2019-01-01 19:00:00+01:00,352.0,3209.0,22.0,215.0,936.0,4475.0,1273.0,55600.0,0.0,250.0,2596.0
2019-01-01 20:00:00+01:00,352.0,3111.0,22.0,215.0,277.0,4122.0,1278.0,55649.0,0.0,249.0,2772.0
2019-01-01 21:00:00+01:00,350.0,2898.0,24.0,215.0,1766.0,3762.0,1215.0,55435.0,0.0,248.0,3018.0
2019-01-01 22:00:00+01:00,351.0,3164.0,26.0,216.0,1077.0,3511.0,1246.0,55303.0,0.0,250.0,3014.0
2019-01-01 23:00:00+01:00,351.0,3167.0,29.0,215.0,1071.0,3227.0,820.0,55107.0,0.0,251.0,3011.0
2019-01-02 00:00:00+01:00,351.0,3177.0,26.0,217.0,2411.0,2871.0,650.0,54788.0,0.0,253.0,3356.0
2019-01-02 01:00:00+01:00,351.0,2886.0,22.0,218.0,2901.0,2588.0,538.0,54287.0,0.0,254.0,3417.0
2019-01-02 02:00:00+01:00,351.0,2887.0,21.0,218.0,2717.0,2469.0,597.0,53570.0,0.0,253.0,3359.0
2019-01-02 03:00:00+01:00,351.0,2843.0,24.0,218.0,2947.0,2473.0,576.0,51857.0,0.0,251.0,3281.0
2019-01-02 04:00:00+01:00,352.0,2903.0,26.0,218.0,3022.0,2475.0,425.0,51689.0,0.0,247.0,3147.0
2019-01-02 05:00:00+01:00,351.0,3205.0,27.0,218.0,2609.0,2501.0,542.0,53302.0,0.0,248.0,3146.0
2019-01-02 06:00:00+01:00,352.0,4068.0,26.0,218.0,1553.0,2771.0,918.0,54784.0,0.0,247.0,3072.0
2019-01-02 07:00:00+01:00,352.0,5430.0,25.0,217.0,630.0,3246.0,1005.0,55513.0,0.0,246.0,3138.0
2019-01-02 08:00:00+01:00,351.0,6582.0,16.0,218.0,465.0,3745.0,966.0,55883.0,141.0,246.0,3179.0
2019-01-02 09:00:00+01:00,351.0,7188.0,11.0,218.0,442.0,4148.0,1473.0,56021.0,582.0,246.0,3069.0
2019-01-02 10:00:00+01:00,351.0,7447.0,11.0,218.0,570.0,4365.0,1617.0,56033.0,1432.0,246.0,2922.0
2019-01-02 11:00:00+01:00,352.0,7424.0,10.0,218.0,454.0,4193.0,1467.0,56058.0,2304.0,244.0,2772.0
2019-01-02 12:00:00+01:00,352.0,7380.0,15.0,218.0,649.0,4007.0,1469.0,56039.0,2788.0,246.0,2979.0
2019-01-02 13:00:00+01:00,352.0,7441.0,11.0,218.0,603.0,3801.0,1240.0,55962.0,2746.0,249.0,3161.0
2019-01-02 14:00:00+01:00,352.0,7544.0,11.0,218.0,455.0,3713.0,1174.0,55971.0,2325.0,253.0,3383.0
2019-01-02 15:00:00+01:00,352.0,7483.0,2.0,218.0,135.0,3728.0,1056.0,55893.0,1504.0,257.0,3427.0
2019-01-02 16:00:00+01:00,352.0,7472.0,1.0,218.0,33.0,4138.0,1284.0,55834.0,552.0,257.0,3380.0
2019-01-02 17:00:00+01:00,352.0,7481.0,2.0,218.0,683.0,4708.0,1928.0,55816.0,119.0,257.0,3147.0
2019-01-02 18:00:00+01:00,351.0,7550.0,2.0,218.0,1551.0,5012.0,2245.0,55971.0,0.0,257.0,3263.0
2019-01-02 19:00:00+01:00,350.0,7614.0,2.0,218.0,1852.0,5147.0,2012.0,56006.0,0.0,258.0,3353.0
2019-01-02 20:00:00+01:00,344.0,7501.0,2.0,217.0,1413.0,4842.0,1776.0,55966.0,0.0,259.0,3252.0
2019-01-02 21:00:00+01:00,351.0,7395.0,2.0,218.0,452.0,4568.0,1524.0,55980.0,0.0,257.0,3198.0
2019-01-02 22:00:00+01:00,351.0,7071.0,2.0,218.0,1059.0,4281.0,1112.0,55787.0,0.0,257.0,3073.0
2019-01-02 23:00:00+01:00,351.0,7236.0,2.0,217.0,622.0,3994.0,1096.0,55826.0,0.0,260.0,3077.0
2019-01-03 00:00:00+01:00,351.0,6673.0,46.0,218.0,575.0,3483.0,1022.0,55663.0,0.0,260.0,3043.0
2019-01-03 01:00:00+01:00,351.0,6016.0,46.0,217.0,1765.0,3100.0,841.0,55467.0,0.0,259.0,2952.0
2019-01-03 02:00:00+01:00,351.0,5986.0,46.0,218.0,2249.0,2939.0,449.0,55489.0,0.0,259.0,2875.0
2019-01-03 03:00:00+01:00,351.0,5672.0,46.0,218.0,2722.0,2774.0,386.0,55561.0,0.0,260.0,2803.0
2019-01-03 04:00:00+01:00,351.0,5584.0,46.0,218.0,2755.0,2735.0,342.0,55473.0,0.0,259.0,2763.0
2019-01-03 05:00:00+01:00,351.0,5815.0,46.0,217.0,1907.0,2749.0,530.0,55755.0,0.0,255.0,2650.0
2019-01-03 06:00:00+01:00,351.0,7172.0,46.0,217.0,89.0,3059.0,1077.0,55737.0,0.0,253.0,2541.0
2019-01-03 07:00:00+01:00,351.0,7242.0,46.0,217.0,361.0,3601.0,1819.0,55863.0,0.0,255.0,2513.0
2019-01-03 08:00:00+01:00,353.0,7307.0,46.0,217.0,1001.0,4174.0,1923.0,56015.0,146.0,256.0,2511.0
2019-01-03 09:00:00+01:00,353.0,7293.0,44.0,217.0,652.0,4481.0,2239.0,56174.0,796.0,259.0,2381.0
2019-01-03 10:00:00+01:00,352.0,7262.0,44.0,217.0,593.0,4648.0,2201.0,56186.0,2087.0,255.0,2043.0
2019-01-03 11:00:00+01:00,351.0,7268.0,44.0,217.0,799.0,4493.0,1877.0,56172.0,3141.0,254.0,1739.0
2019-01-03 12:00:00+01:00,349.0,7228.0,45.0,217.0,805.0,4432.0,1616.0,56135.0,3655.0,257.0,1756.0
2019-01-03 13:00:00+01:00,350.0,7164.0,44.0,218.0,569.0,4279.0,1379.0,56120.0,3641.0,258.0,2077.0
2019-01-03 14:00:00+01:00,351.0,7147.0,44.0,218.0,383.0,4224.0,1440.0,56087.0,3088.0,258.0,2444.0
2019-01-03 15:00:00+01:00,350.0,7324.0,43.0,218.0,438.0,4160.0,1537.0,56066.0,1959.0,257.0,2536.0
2019-01-03 16:00:00+01:00,351.0,7293.0,43.0,217.0,625.0,4167.0,1897.0,56040.0,674.0,258.0,2554.0
2019-01-03 17:00:00+01:00,351.0,7245.0,40.0,217.0,1861.0,4784.0,2330.0,55882.0,120.0,258.0,2661.0
2019-01-03 18:00:00+01:00,351.0,7191.0,36.0,217.0,2062.0,5415.0,2441.0,55949.0,0.0,258.0,2872.0
2019-01-03 19:00:00+01:00,351.0,7233.0,36.0,217.0,2157.0,5468.0,2921.0,56045.0,0.0,259.0,2935.0
2019-01-03 20:00:00+01:00,351.0,7199.0,35.0,217.0,1462.0,4917.0,2299.0,56044.0,0.0,259.0,2966.0
2019-01-03 21:00:00+01:00,351.0,7259.0,37.0,217.0,478.0,4475.0,1671.0,55999.0,0.0,260.0,2958.0
2019-01-03 22:00:00+01:00,351.0,7273.0,38.0,217.0,1206.0,4194.0,1123.0,55985.0,0.0,260.0,2961.0
2019-01-03 23:00:00+01:00,351.0,7150.0,39.0,217.0,1086.0,4144.0,1207.0,55821.0,0.0,261.0,2890.0
2019-01-04 00:00:00+01:00,351.0,7263.0,38.0,216.0,203.0,3818.0,1331.0,55871.0,0.0,261.0,2827.0
2019-01-04 01:00:00+01:00,351.0,7247.0,131.0,217.0,1333.0,3404.0,921.0,55836.0,0.0,260.0,2839.0
2019-01-04 02:00:00+01:00,351.0,7187.0,239.0,217.0,2045.0,3158.0,885.0,55822.0,0.0,259.0,2835.0
2019-01-04 03:00:00+01:00,351.0,6878.0,298.0,217.0,2883.0,3048.0,446.0,55503.0,0.0,259.0,2868.0
2019-01-04 04:00:00+01:00,349.0,6362.0,332.0,216.0,2739.0,2995.0,389.0,55337.0,0.0,259.0,2834.0
2019-01-04 05:00:00+01:00,343.0,7177.0,351.0,216.0,2061.0,2985.0,484.0,55717.0,0.0,258.0,2877.0
2019-01-04 06:00:00+01:00,342.0,7303.0,396.0,216.0,90.0,3267.0,1458.0,55806.0,0.0,256.0,2935.0
2019-01-04 07:00:00+01:00,342.0,7263.0,583.0,217.0,643.0,3935.0,2460.0,55977.0,0.0,255.0,2978.0
2019-01-04 08:00:00+01:00,342.0,7363.0,574.0,216.0,1403.0,4439.0,2491.0,56081.0,141.0,254.0,2848.0
2019-01-04 09:00:00+01:00,342.0,7403.0,613.0,217.0,1838.0,4953.0,2611.0,56144.0,617.0,254.0,2570.0
2019-01-04 10:00:00+01:00,344.0,7426.0,621.0,217.0,1636.0,5167.0,2655.0,56084.0,1588.0,252.0,2259.0
2019-01-04 11:00:00+01:00,344.0,7393.0,563.0,217.0,1110.0,4935.0,2338.0,56087.0,2536.0,254.0,1754.0
2019-01-04 12:00:00+01:00,346.0,7183.0,613.0,217.0,840.0,5018.0,1917.0,56173.0,2941.0,253.0,1588.0
2019-01-04 13:00:00+01:00,346.0,7208.0,623.0,217.0,793.0,4758.0,1748.0,56165.0,2990.0,254.0,1552.0
2019-01-04 14:00:00+01:00,346.0,7251.0,581.0,218.0,891.0,4419.0,1322.0,56107.0,2399.0,254.0,1693.0
2019-01-04 15:00:00+01:00,343.0,7269.0,470.0,218.0,798.0,4283.0,1122.0,56104.0,1508.0,253.0,1786.0
2019-01-04 16:00:00+01:00,344.0,7290.0,447.0,217.0,776.0,4453.0,1455.0,56124.0,576.0,252.0,1824.0
2019-01-04 17:00:00+01:00,344.0,7451.0,511.0,217.0,1347.0,4833.0,2164.0,56126.0,127.0,252.0,2003.0
2019-01-04 18:00:00+01:00,343.0,7792.0,575.0,217.0,1936.0,5233.0,2205.0,56122.0,0.0,251.0,2350.0
2019-01-04 19:00:00+01:00,345.0,7759.0,620.0,217.0,2298.0,5311.0,2584.0,56128.0,0.0,252.0,2404.0
2019-01-04 20:00:00+01:00,344.0,7662.0,586.0,218.0,1725.0,4893.0,2045.0,56157.0,0.0,253.0,2326.0
2019-01-04 21:00:00+01:00,344.0,7667.0,566.0,217.0,1029.0,4393.0,1636.0,56169.0,0.0,253.0,2590.0
2019-01-04 22:00:00+01:00,344.0,7573.0,536.0,216.0,826.0,4241.0,1172.0,55905.0,0.0,254.0,2618.0
2019-01-04 23:00:00+01:00,344.0,7609.0,522.0,216.0,1165.0,4077.0,1260.0,55245.0,0.0,255.0,2567.0
2019-01-05 00:00:00+01:00,344.0,7649.0,580.0,214.0,1161.0,3610.0,1350.0,53905.0,0.0,256.0,2501.0
2019-01-05 01:00:00+01:00,344.0,7716.0,599.0,214.0,644.0,3236.0,1201.0,53729.0,0.0,255.0,2581.0
2019-01-05 02:00:00+01:00,344.0,7654.0,556.0,214.0,8.0,2953.0,867.0,53379.0,0.0,255.0,2564.0
2019-01-05 03:00:00+01:00,344.0,7649.0,554.0,214.0,1312.0,2651.0,606.0,53544.0,0.0,255.0,2444.0
2019-01-05 04:00:00+01:00,345.0,7744.0,577.0,214.0,2324.0,2544.0,565.0,53722.0,0.0,256.0,2391.0
2019-01-05 05:00:00+01:00,344.0,7650.0,565.0,214.0,2805.0,2595.0,534.0,53370.0,0.0,255.0,2559.0
2019-01-05 06:00:00+01:00,344.0,7557.0,540.0,214.0,2861.0,2733.0,575.0,53557.0,0.0,254.0,2723.0
2019-01-05 07:00:00+01:00,344.0,7678.0,570.0,214.0,1804.0,2995.0,963.0,53588.0,0.0,253.0,2785.0
2019-01-05 08:00:00+01:00,345.0,7608.0,570.0,213.0,58.0,3279.0,1287.0,53150.0,146.0,253.0,2835.0
2019-01-05 09:00:00+01:00,345.0,7593.0,561.0,214.0,424.0,3789.0,1607.0,53335.0,639.0,254.0,2766.0
2019-01-05 10:00:00+01:00,345.0,7724.0,552.0,215.0,388.0,4161.0,1742.0,53413.0,1808.0,250.0,2640.0
2019-01-05 11:00:00+01:00,345.0,7636.0,581.0,215.0,476.0,4067.0,1437.0,53609.0,2725.0,251.0,2559.0
2019-01-05 12:00:00+01:00,345.0,7689.0,601.0,214.0,1257.0,3990.0,1652.0,53751.0,3082.0,253.0,2666.0
2019-01-05 13:00:00+01:00,340.0,7566.0,553.0,214.0,1468.0,3805.0,1372.0,54063.0,2990.0,252.0,2905.0
2019-01-05 14:00:00+01:00,330.0,7563.0,543.0,214.0,563.0,3387.0,1250.0,54049.0,2566.0,251.0,3009.0
2019-01-05 15:00:00+01:00,339.0,7568.0,543.0,215.0,431.0,3237.0,1191.0,53911.0,1678.0,252.0,3046.0
2019-01-05 16:00:00+01:00,342.0,7613.0,564.0,215.0,355.0,3149.0,970.0,54436.0,624.0,252.0,3035.0
2019-01-05 17:00:00+01:00,344.0,7542.0,571.0,215.0,323.0,3515.0,1000.0,54582.0,123.0,253.0,3037.0
2019-01-05 18:00:00+01:00,344.0,7622.0,548.0,214.0,457.0,4099.0,1908.0,54679.0,0.0,252.0,3060.0
2019-01-05 19:00:00+01:00,344.0,7706.0,552.0,215.0,699.0,4186.0,1979.0,54724.0,0.0,254.0,3014.0
2019-01-05 20:00:00+01:00,344.0,7638.0,492.0,215.0,508.0,3889.0,1310.0,54808.0,0.0,255.0,2971.0
2019-01-05 21:00:00+01:00,344.0,7613.0,450.0,214.0,159.0,3465.0,1039.0,54782.0,0.0,255.0,2790.0
2019-01-05 22:00:00+01:00,344.0,7363.0,499.0,215.0,56.0,3283.0,1161.0,54519.0,0.0,256.0,2746.0
2019-01-05 23:00:00+01:00,342.0,7498.0,555.0,214.0,451.0,3223.0,1410.0,54157.0,0.0,256.0,2641.0
2019-01-06 00:00:00+01:00,343.0,7342.0,452.0,215.0,257.0,2898.0,1376.0,53770.0,0.0,259.0,2586.0
2019-01-06 01:00:00+01:00,344.0,7106.0,397.0,215.0,401.0,2821.0,592.0,53363.0,0.0,260.0,2467.0
2019-01-06 02:00:00+01:00,344.0,6765.0,400.0,215.0,1795.0,2713.0,340.0,53338.0,0.0,258.0,2535.0
2019-01-06 03:00:00+01:00,344.0,6314.0,435.0,216.0,2880.0,2469.0,201.0,53156.0,0.0,259.0,2526.0
