,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2019-01-01 00:00:00+01:00,93.0,550.0,714.0,0.0,12.0,15.0,1939.0,52.0,9.0,,14.0,21.0
2019-01-01 00:15:00+01:00,93.0,506.0,726.0,0.0,12.0,15.0,1939.0,52.0,9.0,,14.0,16.0
2019-01-01 00:30:00+01:00,93.0,473.0,752.0,0.0,12.0,15.0,1939.0,52.0,9.0,,12.0,7.0
2019-01-01 00:45:00+01:00,92.0,450.0,755.0,0.0,12.0,15.0,1939.0,52.0,9.0,,14.0,5.0
2019-01-01 01:00:00+01:00,92.0,420.0,758.0,0.0,12.0,15.0,1939.0,52.0,9.0,,14.0,3.0
2019-01-01 01:15:00+01:00,93.0,384.0,736.0,0.0,12.0,15.0,1938.0,52.0,9.0,,13.0,2.0
2019-01-01 01:30:00+01:00,91.0,369.0,712.0,0.0,12.0,15.0,1937.0,52.0,7.0,,14.0,0.0
2019-01-01 01:45:00+01:00,86.0,369.0,702.0,0.0,12.0,15.0,1936.0,52.0,7.0,,14.0,0.0
2019-01-01 02:00:00+01:00,82.0,372.0,671.0,0.0,12.0,15.0,1936.0,52.0,6.0,,14.0,0.0
2019-01-01 02:15:00+01:00,80.0,339.0,643.0,0.0,12.0,15.0,1936.0,52.0,5.0,,14.0,0.0
2019-01-01 02:30:00+01:00,76.0,310.0,632.0,0.0,12.0,15.0,1936.0,52.0,5.0,,13.0,0.0
2019-01-01 02:45:00+01:00,74.0,293.0,622.0,0.0,12.0,15.0,1936.0,52.0,5.0,,13.0,0.0
2019-01-01 03:00:00+01:00,72.0,297.0,664.0,0.0,12.0,15.0,1937.0,52.0,5.0,,14.0,0.0
2019-01-01 03:15:00+01:00,71.0,293.0,645.0,0.0,12.0,15.0,1936.0,52.0,5.0,,12.0,1.0
2019-01-01 03:30:00+01:00,71.0,276.0,601.0,0.0,12.0,15.0,1937.0,52.0,4.0,,13.0,0.0
2019-01-01 03:45:00+01:00,70.0,268.0,588.0,0.0,12.0,15.0,1937.0,52.0,4.0,,13.0,0.0
2019-01-01 04:00:00+01:00,70.0,269.0,605.0,0.0,12.0,15.0,1937.0,52.0,4.0,,13.0,0.0
2019-01-01 04:15:00+01:00,70.0,271.0,600.0,0.0,12.0,15.0,1937.0,52.0,4.0,,14.0,0.0
2019-01-01 04:30:00+01:00,70.0,278.0,569.0,0.0,12.0,15.0,1937.0,52.0,4.0,,15.0,0.0
2019-01-01 04:45:00+01:00,70.0,295.0,564.0,0.0,12.0,15.0,1937.0,52.0,4.0,,14.0,1.0
2019-01-01 05:00:00+01:00,71.0,298.0,584.0,0.0,12.0,15.0,1938.0,57.0,4.0,,15.0,3.0
2019-01-01 05:15:00+01:00,74.0,292.0,589.0,0.0,12.0,15.0,1937.0,61.0,4.0,,14.0,7.0
2019-01-01 05:30:00+01:00,78.0,293.0,564.0,0.0,12.0,15.0,1937.0,61.0,4.0,,14.0,9.0
2019-01-01 05:45:00+01:00,82.0,300.0,556.0,0.0,12.0,15.0,1938.0,61.0,6.0,,13.0,13.0
2019-01-01 06:00:00+01:00,83.0,316.0,532.0,0.0,12.0,15.0,1938.0,62.0,7.0,,13.0,17.0
2019-01-01 06:15:00+01:00,86.0,331.0,525.0,0.0,12.0,15.0,1938.0,62.0,8.0,,13.0,24.0
2019-01-01 06:30:00+01:00,89.0,340.0,524.0,0.0,12.0,15.0,1938.0,62.0,9.0,,12.0,28.0
2019-01-01 06:45:00+01:00,92.0,356.0,524.0,0.0,12.0,15.0,1939.0,62.0,9.0,,13.0,28.0
2019-01-01 07:00:00+01:00,93.0,382.0,528.0,0.0,12.0,15.0,1938.0,62.0,10.0,,14.0,32.0
2019-01-01 07:15:00+01:00,94.0,369.0,531.0,0.0,13.0,15.0,1939.0,62.0,10.0,,14.0,39.0
2019-01-01 07:30:00+01:00,94.0,368.0,518.0,0.0,13.0,15.0,1939.0,62.0,10.0,,15.0,55.0
2019-01-01 07:45:00+01:00,94.0,367.0,525.0,0.0,13.0,15.0,1940.0,62.0,10.0,,15.0,72.0
2019-01-01 08:00:00+01:00,94.0,385.0,454.0,0.0,13.0,15.0,1939.0,62.0,10.0,,14.0,83.0
2019-01-01 08:15:00+01:00,94.0,393.0,451.0,0.0,13.0,15.0,1939.0,62.0,10.0,,13.0,95.0
2019-01-01 08:30:00+01:00,93.0,397.0,465.0,0.0,13.0,15.0,1940.0,62.0,10.0,,13.0,100.0
2019-01-01 08:45:00+01:00,93.0,408.0,482.0,0.0,13.0,15.0,1940.0,62.0,11.0,,14.0,102.0
2019-01-01 09:00:00+01:00,94.0,412.0,463.0,0.0,13.0,15.0,1940.0,62.0,11.0,,15.0,104.0
2019-01-01 09:15:00+01:00,94.0,411.0,466.0,0.0,13.0,15.0,1940.0,62.0,11.0,,14.0,103.0
2019-01-01 09:30:00+01:00,94.0,419.0,470.0,0.0,13.0,15.0,1941.0,62.0,11.0,,15.0,103.0
2019-01-01 09:45:00+01:00,94.0,420.0,481.0,0.0,13.0,15.0,1940.0,62.0,11.0,,15.0,105.0
2019-01-01 10:00:00+01:00,93.0,404.0,479.0,0.0,13.0,15.0,1940.0,61.0,11.0,,14.0,103.0
2019-01-01 10:15:00+01:00,93.0,404.0,511.0,0.0,13.0,15.0,1940.0,61.0,11.0,,13.0,100.0
2019-01-01 10:30:00+01:00,93.0,414.0,544.0,0.0,12.0,15.0,1940.0,61.0,11.0,,13.0,102.0
2019-01-01 10:45:00+01:00,93.0,421.0,583.0,0.0,12.0,15.0,1940.0,61.0,11.0,,13.0,105.0
2019-01-01 11:00:00+01:00,92.0,413.0,503.0,0.0,12.0,15.0,1940.0,61.0,11.0,,13.0,111.0
2019-01-01 11:15:00+01:00,90.0,407.0,540.0,0.0,12.0,15.0,1940.0,61.0,11.0,,14.0,111.0
2019-01-01 11:30:00+01:00,91.0,409.0,571.0,0.0,12.0,15.0,1940.0,61.0,11.0,,13.0,114.0
2019-01-01 11:45:00+01:00,92.0,416.0,597.0,0.0,12.0,15.0,1940.0,61.0,11.0,,12.0,118.0
2019-01-01 12:00:00+01:00,92.0,414.0,594.0,0.0,12.0,15.0,1939.0,61.0,12.0,,13.0,124.0
2019-01-01 12:15:00+01:00,91.0,410.0,608.0,0.0,12.0,15.0,1939.0,61.0,12.0,,12.0,134.0
2019-01-01 12:30:00+01:00,91.0,410.0,616.0,0.0,12.0,15.0,1939.0,61.0,12.0,,13.0,144.0
2019-01-01 12:45:00+01:00,91.0,412.0,631.0,0.0,12.0,15.0,1939.0,61.0,12.0,,13.0,149.0
2019-01-01 13:00:00+01:00,91.0,420.0,649.0,0.0,12.0,15.0,1939.0,60.0,11.0,,12.0,142.0
2019-01-01 13:15:00+01:00,90.0,414.0,656.0,0.0,12.0,15.0,1939.0,60.0,11.0,,13.0,143.0
2019-01-01 13:30:00+01:00,90.0,410.0,648.0,0.0,12.0,14.0,1939.0,60.0,11.0,,14.0,139.0
2019-01-01 13:45:00+01:00,91.0,413.0,639.0,0.0,12.0,14.0,1939.0,60.0,12.0,,13.0,139.0
2019-01-01 14:00:00+01:00,91.0,414.0,664.0,0.0,12.0,14.0,1940.0,61.0,12.0,,14.0,143.0
2019-01-01 14:15:00+01:00,91.0,408.0,692.0,0.0,12.0,14.0,1940.0,61.0,12.0,,14.0,144.0
2019-01-01 14:30:00+01:00,91.0,408.0,666.0,0.0,12.0,14.0,1940.0,61.0,12.0,,13.0,162.0
2019-01-01 14:45:00+01:00,91.0,409.0,647.0,0.0,12.0,14.0,1940.0,61.0,11.0,,12.0,176.0
2019-01-01 15:00:00+01:00,91.0,398.0,736.0,0.0,12.0,14.0,1941.0,61.0,11.0,,13.0,183.0
2019-01-01 15:15:00+01:00,90.0,396.0,772.0,0.0,12.0,14.0,1941.0,61.0,11.0,,13.0,183.0
2019-01-01 15:30:00+01:00,90.0,401.0,796.0,0.0,12.0,14.0,1941.0,61.0,11.0,,12.0,181.0
2019-01-01 15:45:00+01:00,90.0,414.0,828.0,0.0,12.0,14.0,1941.0,61.0,11.0,,11.0,174.0
2019-01-01 16:00:00+01:00,91.0,399.0,704.0,0.0,12.0,14.0,1941.0,60.0,11.0,,12.0,171.0
2019-01-01 16:15:00+01:00,91.0,399.0,767.0,0.0,12.0,14.0,1941.0,60.0,11.0,,14.0,169.0
2019-01-01 16:30:00+01:00,91.0,417.0,833.0,0.0,12.0,14.0,1941.0,60.0,11.0,,13.0,179.0
2019-01-01 16:45:00+01:00,90.0,415.0,841.0,0.0,12.0,14.0,1941.0,60.0,10.0,,11.0,195.0
2019-01-01 17:00:00+01:00,90.0,419.0,825.0,0.0,12.0,14.0,1940.0,60.0,11.0,,13.0,200.0
2019-01-01 17:15:00+01:00,90.0,405.0,834.0,0.0,12.0,14.0,1940.0,61.0,10.0,,13.0,198.0
2019-01-01 17:30:00+01:00,91.0,403.0,828.0,0.0,12.0,14.0,1940.0,61.0,10.0,,13.0,190.0
2019-01-01 17:45:00+01:00,91.0,409.0,821.0,0.0,12.0,14.0,1940.0,61.0,10.0,,13.0,194.0
2019-01-01 18:00:00+01:00,92.0,415.0,833.0,0.0,12.0,14.0,1939.0,61.0,11.0,,13.0,193.0
2019-01-01 18:15:00+01:00,91.0,409.0,841.0,0.0,12.0,14.0,1939.0,61.0,11.0,,14.0,192.0
2019-01-01 18:30:00+01:00,92.0,402.0,839.0,0.0,12.0,14.0,1939.0,61.0,11.0,,14.0,180.0
2019-01-01 18:45:00+01:00,92.0,403.0,827.0,0.0,12.0,14.0,1940.0,61.0,11.0,,14.0,176.0
2019-01-01 19:00:00+01:00,92.0,404.0,825.0,0.0,12.0,14.0,1939.0,60.0,11.0,,12.0,170.0
2019-01-01 19:15:00+01:00,92.0,399.0,814.0,0.0,12.0,14.0,1939.0,60.0,11.0,,13.0,174.0
2019-01-01 19:30:00+01:00,91.0,390.0,832.0,0.0,12.0,14.0,1938.0,60.0,11.0,,13.0,171.0
2019-01-01 19:45:00+01:00,92.0,391.0,816.0,0.0,12.0,14.0,1939.0,51.0,11.0,,13.0,170.0
2019-01-01 20:00:00+01:00,92.0,389.0,892.0,0.0,12.0,14.0,1940.0,50.0,10.0,,13.0,167.0
2019-01-01 20:15:00+01:00,92.0,374.0,883.0,0.0,12.0,14.0,1938.0,50.0,10.0,,13.0,176.0
2019-01-01 20:30:00+01:00,92.0,373.0,828.0,0.0,12.0,14.0,1939.0,50.0,10.0,,13.0,197.0
2019-01-01 20:45:00+01:00,91.0,373.0,807.0,0.0,12.0,14.0,1939.0,50.0,10.0,,13.0,203.0
2019-01-01 21:00:00+01:00,92.0,363.0,882.0,0.0,12.0,14.0,1939.0,52.0,10.0,,13.0,204.0
2019-01-01 21:15:00+01:00,92.0,381.0,843.0,0.0,12.0,14.0,1938.0,52.0,10.0,,13.0,210.0
2019-01-01 21:30:00+01:00,92.0,399.0,771.0,0.0,12.0,14.0,1939.0,52.0,10.0,,14.0,211.0
2019-01-01 21:45:00+01:00,92.0,410.0,727.0,0.0,12.0,14.0,1940.0,52.0,10.0,,12.0,206.0
