,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore
2018-12-31 23:00:00+00:00,675.0,0.0,40.0,169.0,21.0,147.0,0.0,671.0
2018-12-31 23:30:00+00:00,837.0,0.0,36.0,169.0,12.0,144.0,0.0,660.0
2019-01-01 00:00:00+00:00,979.0,0.0,35.0,170.0,0.0,129.0,0.0,604.0
2019-01-01 00:30:00+00:00,1020.0,0.0,35.0,219.0,0.0,129.0,0.0,582.0
2019-01-01 01:00:00+00:00,808.0,0.0,28.0,225.0,0.0,128.0,0.0,618.0
2019-01-01 01:30:00+00:00,692.0,0.0,35.0,226.0,0.0,124.0,0.0,610.0
2019-01-01 02:00:00+00:00,616.0,0.0,35.0,225.0,0.0,123.0,0.0,516.0
2019-01-01 02:30:00+00:00,481.0,0.0,35.0,212.0,0.0,119.0,0.0,510.0
2019-01-01 03:00:00+00:00,452.0,0.0,36.0,191.0,0.0,124.0,0.0,491.0
2019-01-01 03:30:00+00:00,469.0,0.0,34.0,209.0,0.0,124.0,0.0,432.0
2019-01-01 04:00:00+00:00,458.0,0.0,36.0,197.0,0.0,124.0,0.0,397.0
2019-01-01 04:30:00+00:00,473.0,0.0,34.0,206.0,0.0,125.0,0.0,340.0
2019-01-01 05:00:00+00:00,496.0,0.0,36.0,202.0,0.0,126.0,0.0,302.0
2019-01-01 05:30:00+00:00,488.0,0.0,33.0,202.0,0.0,125.0,0.0,293.0
2019-01-01 06:00:00+00:00,523.0,0.0,36.0,204.0,0.0,127.0,0.0,264.0
2019-01-01 06:30:00+00:00,557.0,0.0,34.0,270.0,0.0,125.0,0.0,253.0
2019-01-01 07:00:00+00:00,639.0,0.0,36.0,271.0,0.0,125.0,0.0,229.0
2019-01-01 07:30:00+00:00,637.0,0.0,34.0,315.0,0.0,125.0,0.0,197.0
2019-01-01 08:00:00+00:00,695.0,0.0,35.0,341.0,0.0,124.0,0.0,179.0
2019-01-01 08:30:00+00:00,717.0,0.0,34.0,339.0,20.0,143.0,0.0,143.0
2019-01-01 09:00:00+00:00,743.0,0.0,35.0,343.0,25.0,143.0,0.0,130.0
2019-01-01 09:30:00+00:00,814.0,0.0,35.0,343.0,30.0,145.0,0.0,119.0
2019-01-01 10:00:00+00:00,928.0,0.0,34.0,342.0,29.0,145.0,0.0,102.0
