,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore
2019-01-01 00:00:00+01:00,495.0,776.0,8053.0,1938.0,8.0,674.0,1.0,1891.0,289.0,3070.0,0.0,37.0,5076.0
2019-01-01 01:00:00+01:00,501.0,775.0,7614.0,2090.0,8.0,673.0,0.0,1708.0,145.0,3092.0,0.0,41.0,5088.0
2019-01-01 02:00:00+01:00,499.0,773.0,7090.0,2177.0,8.0,673.0,0.0,1613.0,164.0,2859.0,0.0,36.0,5086.0
2019-01-01 03:00:00+01:00,503.0,774.0,6032.0,1827.0,8.0,672.0,0.0,1481.0,126.0,2452.0,0.0,41.0,5131.0
2019-01-01 04:00:00+01:00,509.0,774.0,5795.0,1714.0,8.0,674.0,0.0,1475.0,124.0,2376.0,0.0,38.0,5235.0
2019-01-01 05:00:00+01:00,509.0,774.0,6175.0,1712.0,8.0,674.0,0.0,1485.0,116.0,2545.0,0.0,34.0,4950.0
2019-01-01 06:00:00+01:00,509.0,775.0,5995.0,1717.0,8.0,674.0,0.0,1439.0,134.0,2746.0,0.0,35.0,4741.0
2019-01-01 07:00:00+01:00,507.0,774.0,5869.0,1713.0,8.0,673.0,0.0,1570.0,109.0,2468.0,44.0,37.0,4418.0
2019-01-01 08:00:00+01:00,519.0,775.0,5174.0,1706.0,8.0,672.0,0.0,1877.0,272.0,2283.0,1052.0,33.0,4210.0
2019-01-01 09:00:00+01:00,513.0,774.0,5209.0,1725.0,8.0,673.0,0.0,2030.0,257.0,2169.0,2840.0,34.0,3656.0
2019-01-01 10:00:00+01:00,517.0,774.0,5172.0,1777.0,8.0,673.0,170.0,2028.0,259.0,2108.0,4601.0,37.0,3262.0
2019-01-01 11:00:00+01:00,522.0,769.0,5134.0,1726.0,8.0,673.0,244.0,1771.0,253.0,2188.0,5270.0,34.0,3477.0
2019-01-01 12:00:00+01:00,527.0,770.0,5507.0,1739.0,8.0,670.0,244.0,1804.0,149.0,2459.0,5453.0,40.0,3892.0
2019-01-01 13:00:00+01:00,529.0,768.0,5802.0,1729.0,8.0,669.0,198.0,1726.0,178.0,2374.0,4925.0,40.0,3460.0
2019-01-01 14:00:00+01:00,520.0,763.0,5530.0,1819.0,8.0,667.0,162.0,1651.0,150.0,2234.0,3427.0,39.0,3213.0
2019-01-01 15:00:00+01:00,524.0,761.0,5941.0,1766.0,8.0,668.0,341.0,1723.0,208.0,2588.0,1788.0,36.0,3308.0
2019-01-01 16:00:00+01:00,517.0,761.0,7689.0,1773.0,19.0,669.0,232.0,2603.0,421.0,2853.0,225.0,37.0,3468.0
2019-01-01 17:00:00+01:00,524.0,766.0,8901.0,1765.0,58.0,671.0,976.0,3637.0,888.0,2989.0,1.0,36.0,3078.0
2019-01-01 18:00:00+01:00,522.0,777.0,9253.0,1767.0,67.0,673.0,1310.0,4131.0,675.0,3018.0,0.0,37.0,3058.0
2019-01-01 19:00:00+01:00,520.0,771.0,9440.0,1754.0,67.0,671.0,1215.0,4321.0,906.0,3019.0,0.0,39.0,3124.0
2019-01-01 20:00:00+01:00,520.0,776.0,9757.0,1804.0,67.0,669.0,1217.0,3217.0,1122.0,2886.0,0.0,39.0,3091.0
2019-01-01 21:00:00+01:00,506.0,778.0,10024.0,1820.0,67.0,669.0,863.0,2627.0,708.0,2877.0,0.0,39.0,2923.0
2019-01-01 22:00:00+01:00,496.0,777.0,10282.0,1768.0,67.0,669.0,3.0,2283.0,458.0,2769.0,0.0,37.0,2674.0
2019-01-01 23:00:00+01:00,510.0,774.0,8930.0,1751.0,66.0,668.0,0.0,1994.0,189.0,2644.0,0.0,38.0,2362.0
2019-01-02 00:00:00+01:00,516.0,,6995.0,1753.0,66.0,666.0,0.0,1596.0,122.0,2701.0,0.0,40.0,2202.0
2019-01-02 01:00:00+01:00,517.0,,6029.0,1724.0,67.0,667.0,0.0,1425.0,99.0,2490.0,0.0,38.0,2255.0
2019-01-02 02:00:00+01:00,521.0,,5478.0,1712.0,67.0,666.0,0.0,1368.0,98.0,2407.0,0.0,41.0,2412.0
2019-01-02 03:00:00+01:00,522.0,,5341.0,1689.0,67.0,666.0,0.0,1340.0,98.0,2281.0,0.0,37.0,2719.0
2019-01-02 04:00:00+01:00,521.0,,5611.0,1690.0,67.0,666.0,0.0,1391.0,98.0,2302.0,0.0,36.0,3179.0
2019-01-02 05:00:00+01:00,518.0,,6472.0,1742.0,66.0,667.0,0.0,1392.0,118.0,2572.0,0.0,38.0,3248.0
2019-01-02 06:00:00+01:00,519.0,,8099.0,1835.0,67.0,667.0,0.0,1429.0,142.0,2999.0,0.0,38.0,2904.0
2019-01-02 07:00:00+01:00,503.0,,10713.0,2402.0,66.0,667.0,0.0,2046.0,522.0,3391.0,53.0,37.0,2654.0
2019-01-02 08:00:00+01:00,503.0,,11743.0,2577.0,66.0,666.0,1610.0,2797.0,810.0,3452.0,739.0,37.0,2131.0
2019-01-02 09:00:00+01:00,505.0,,13043.0,2661.0,67.0,664.0,1519.0,2987.0,753.0,3485.0,2284.0,37.0,1777.0
2019-01-02 10:00:00+01:00,492.0,,13377.0,2789.0,69.0,665.0,453.0,2814.0,755.0,3458.0,3273.0,37.0,1735.0
2019-01-02 11:00:00+01:00,510.0,,13739.0,2779.0,74.0,667.0,31.0,2600.0,700.0,3387.0,3921.0,39.0,1718.0
2019-01-02 12:00:00+01:00,514.0,,13927.0,2694.0,67.0,667.0,0.0,2190.0,688.0,3476.0,5048.0,41.0,2110.0
2019-01-02 13:00:00+01:00,522.0,,12364.0,2477.0,67.0,667.0,0.0,1969.0,331.0,3167.0,5033.0,41.0,3380.0
2019-01-02 14:00:00+01:00,522.0,,11538.0,2422.0,67.0,659.0,0.0,1913.0,330.0,3164.0,3738.0,39.0,4997.0
2019-01-02 15:00:00+01:00,521.0,,12393.0,2583.0,83.0,661.0,1.0,2193.0,669.0,3486.0,1500.0,40.0,5294.0
2019-01-02 16:00:00+01:00,519.0,,14106.0,2383.0,131.0,661.0,725.0,3004.0,970.0,3618.0,171.0,39.0,4874.0
2019-01-02 17:00:00+01:00,525.0,,15172.0,2386.0,109.0,661.0,1945.0,4019.0,1213.0,3644.0,0.0,40.0,4165.0
2019-01-02 18:00:00+01:00,520.0,,15317.0,2445.0,67.0,661.0,1739.0,4203.0,1277.0,3602.0,0.0,37.0,4365.0
2019-01-02 19:00:00+01:00,517.0,,14784.0,2291.0,67.0,673.0,2003.0,3778.0,1229.0,3511.0,0.0,37.0,4711.0
2019-01-02 20:00:00+01:00,501.0,,14684.0,2244.0,67.0,675.0,553.0,3116.0,858.0,3467.0,0.0,40.0,5079.0
2019-01-02 21:00:00+01:00,515.0,,13684.0,2316.0,65.0,675.0,131.0,2480.0,558.0,3366.0,1.0,39.0,4975.0
2019-01-02 22:00:00+01:00,508.0,,11918.0,2111.0,8.0,674.0,0.0,2176.0,543.0,3145.0,1.0,40.0,4908.0
2019-01-02 23:00:00+01:00,490.0,,9750.0,1752.0,8.0,674.0,0.0,1760.0,382.0,2781.0,1.0,42.0,5276.0
2019-01-03 00:00:00+01:00,510.0,,8309.0,1551.0,21.0,674.0,0.0,1525.0,219.0,,0.0,40.0,5709.0
2019-01-03 01:00:00+01:00,518.0,,8002.0,1462.0,21.0,676.0,0.0,1451.0,264.0,,1.0,39.0,5544.0
2019-01-03 02:00:00+01:00,521.0,,7925.0,1458.0,21.0,675.0,0.0,1426.0,331.0,,1.0,40.0,4954.0
2019-01-03 03:00:00+01:00,509.0,,7908.0,1457.0,21.0,676.0,0.0,1357.0,329.0,,0.0,41.0,4964.0
2019-01-03 04:00:00+01:00,509.0,,7954.0,1455.0,21.0,676.0,0.0,1416.0,332.0,,0.0,42.0,5075.0
2019-01-03 05:00:00+01:00,515.0,,8716.0,1474.0,21.0,676.0,0.0,1418.0,368.0,,0.0,43.0,5142.0
2019-01-03 06:00:00+01:00,516.0,,9691.0,1624.0,21.0,676.0,0.0,1427.0,327.0,,0.0,39.0,5830.0
2019-01-03 07:00:00+01:00,515.0,,12132.0,2011.0,21.0,676.0,23.0,2144.0,794.0,,13.0,38.0,5724.0
2019-01-03 08:00:00+01:00,516.0,,13001.0,2250.0,21.0,676.0,420.0,3140.0,1113.0,,871.0,39.0,5577.0
2019-01-03 09:00:00+01:00,516.0,,13252.0,2216.0,21.0,673.0,872.0,3251.0,1158.0,,2972.0,40.0,5465.0
2019-01-03 10:00:00+01:00,481.0,,13109.0,2168.0,21.0,673.0,100.0,2868.0,800.0,,5060.0,41.0,5957.0
2019-01-03 11:00:00+01:00,503.0,,13605.0,2038.0,21.0,672.0,25.0,2166.0,423.0,,5804.0,42.0,6084.0
2019-01-03 12:00:00+01:00,516.0,,14164.0,2002.0,21.0,673.0,3.0,1873.0,460.0,,5616.0,42.0,6168.0
2019-01-03 13:00:00+01:00,519.0,,14305.0,1896.0,21.0,673.0,0.0,1752.0,459.0,,5266.0,41.0,6092.0
2019-01-03 14:00:00+01:00,521.0,,14538.0,2032.0,21.0,672.0,0.0,1969.0,515.0,,3922.0,40.0,5965.0
2019-01-03 15:00:00+01:00,520.0,,15875.0,2081.0,21.0,672.0,25.0,2132.0,576.0,,1728.0,41.0,5864.0
2019-01-03 16:00:00+01:00,516.0,,16875.0,2176.0,29.0,674.0,79.0,2960.0,874.0,,212.0,38.0,5860.0
2019-01-03 17:00:00+01:00,520.0,,17414.0,2204.0,71.0,674.0,880.0,4240.0,1027.0,,1.0,38.0,5745.0
2019-01-03 18:00:00+01:00,519.0,,17230.0,2195.0,83.0,674.0,926.0,4639.0,1244.0,,0.0,39.0,5786.0
2019-01-03 19:00:00+01:00,520.0,,17105.0,2182.0,85.0,675.0,675.0,4511.0,1107.0,,0.0,40.0,5638.0
2019-01-03 20:00:00+01:00,523.0,,16573.0,2196.0,101.0,674.0,292.0,3070.0,703.0,,0.0,39.0,5703.0
2019-01-03 21:00:00+01:00,527.0,,15006.0,2166.0,137.0,674.0,94.0,2362.0,542.0,,0.0,41.0,5557.0
2019-01-03 22:00:00+01:00,524.0,,12773.0,2065.0,148.0,674.0,0.0,2033.0,287.0,,1.0,40.0,5616.0
2019-01-03 23:00:00+01:00,506.0,,11492.0,1863.0,81.0,675.0,0.0,1649.0,317.0,,1.0,39.0,5424.0
2019-01-04 00:00:00+01:00,518.0,,9580.0,1732.0,79.0,675.0,955.0,1588.0,387.0,,0.0,39.0,5332.0
2019-01-04 01:00:00+01:00,523.0,,9163.0,1584.0,79.0,676.0,0.0,1533.0,415.0,,1.0,38.0,4709.0
2019-01-04 02:00:00+01:00,523.0,,9265.0,1487.0,79.0,676.0,0.0,1363.0,127.0,,1.0,39.0,4172.0
2019-01-04 03:00:00+01:00,511.0,,9038.0,1458.0,79.0,677.0,0.0,1350.0,117.0,,0.0,38.0,4138.0
2019-01-04 04:00:00+01:00,504.0,,8937.0,1477.0,78.0,677.0,0.0,1360.0,134.0,,0.0,39.0,4432.0
2019-01-04 05:00:00+01:00,507.0,,9613.0,1617.0,78.0,676.0,0.0,1423.0,160.0,,0.0,37.0,4850.0
2019-01-04 06:00:00+01:00,506.0,,11284.0,1765.0,78.0,677.0,133.0,1694.0,254.0,,0.0,39.0,4875.0
2019-01-04 07:00:00+01:00,506.0,,14532.0,1990.0,79.0,676.0,475.0,2284.0,689.0,,33.0,40.0,4548.0
2019-01-04 08:00:00+01:00,510.0,,16850.0,2024.0,92.0,673.0,259.0,3005.0,1030.0,,948.0,37.0,4434.0
2019-01-04 09:00:00+01:00,510.0,,16866.0,2023.0,111.0,671.0,260.0,2980.0,981.0,,2903.0,36.0,4566.0
2019-01-04 10:00:00+01:00,507.0,,16911.0,2021.0,146.0,671.0,102.0,2738.0,994.0,,4740.0,36.0,4663.0
2019-01-04 11:00:00+01:00,501.0,,16916.0,2020.0,121.0,672.0,18.0,2621.0,932.0,,5949.0,37.0,4788.0
2019-01-04 12:00:00+01:00,486.0,,16541.0,2163.0,109.0,674.0,353.0,2511.0,823.0,,5774.0,37.0,4900.0
2019-01-04 13:00:00+01:00,487.0,,16093.0,2274.0,81.0,675.0,51.0,2271.0,789.0,,4907.0,39.0,4999.0
2019-01-04 14:00:00+01:00,490.0,,16698.0,2375.0,136.0,670.0,0.0,2323.0,721.0,,3447.0,37.0,4748.0
2019-01-04 15:00:00+01:00,478.0,,17517.0,2425.0,140.0,670.0,90.0,2325.0,747.0,,1702.0,37.0,4252.0
2019-01-04 16:00:00+01:00,458.0,,18356.0,2544.0,131.0,670.0,339.0,3297.0,1156.0,,190.0,37.0,4060.0
2019-01-04 17:00:00+01:00,471.0,,18572.0,2722.0,128.0,670.0,1240.0,4697.0,1363.0,,0.0,36.0,4058.0
2019-01-04 18:00:00+01:00,468.0,,18739.0,2623.0,126.0,670.0,1823.0,5001.0,1467.0,,0.0,38.0,3995.0
2019-01-04 19:00:00+01:00,467.0,,19131.0,2349.0,122.0,670.0,1061.0,4815.0,1360.0,,0.0,39.0,3921.0
2019-01-04 20:00:00+01:00,475.0,,18887.0,2303.0,122.0,669.0,241.0,3700.0,1283.0,,1.0,37.0,3638.0
2019-01-04 21:00:00+01:00,482.0,,18285.0,2309.0,136.0,669.0,155.0,2812.0,867.0,,1.0,38.0,3606.0
2019-01-04 22:00:00+01:00,513.0,,16474.0,2246.0,124.0,669.0,0.0,2405.0,823.0,,1.0,40.0,3463.0
2019-01-04 23:00:00+01:00,513.0,,15676.0,2194.0,118.0,669.0,0.0,2050.0,804.0,,1.0,41.0,3454.0
2019-01-05 00:00:00+01:00,521.0,,12740.0,1625.0,20.0,674.0,0.0,2085.0,759.0,,1.0,41.0,3179.0
2019-01-05 01:00:00+01:00,522.0,,11658.0,1702.0,20.0,674.0,0.0,1655.0,551.0,,1.0,42.0,3357.0
2019-01-05 02:00:00+01:00,522.0,,10576.0,1714.0,20.0,674.0,0.0,1487.0,278.0,,1.0,43.0,3438.0
2019-01-05 03:00:00+01:00,524.0,,9190.0,1672.0,20.0,674.0,0.0,1462.0,193.0,,1.0,42.0,3681.0
2019-01-05 04:00:00+01:00,524.0,,9010.0,1641.0,20.0,674.0,0.0,1458.0,192.0,,0.0,41.0,3677.0
2019-01-05 05:00:00+01:00,526.0,,9557.0,1651.0,20.0,675.0,0.0,1473.0,233.0,,0.0,40.0,3804.0
2019-01-05 06:00:00+01:00,527.0,,10748.0,1703.0,20.0,675.0,7.0,1485.0,306.0,,0.0,38.0,3905.0
