,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2018-12-31 23:00:00+00:00,222.0,855.0,1612.0,571.0,799.0,274.0,129.0,0.0,597.0
2019-01-01 00:00:00+00:00,242.0,434.0,1472.0,345.0,655.0,283.0,100.0,0.0,543.0
2019-01-01 01:00:00+00:00,240.0,428.0,1470.0,243.0,492.0,303.0,101.0,0.0,441.0
2019-01-01 02:00:00+00:00,246.0,428.0,1470.0,0.0,421.0,294.0,109.0,0.0,367.0
2019-01-01 03:00:00+00:00,252.0,430.0,1407.0,0.0,116.0,220.0,116.0,0.0,346.0
2019-01-01 04:00:00+00:00,251.0,430.0,1289.0,0.0,114.0,130.0,114.0,0.0,413.0
2019-01-01 05:00:00+00:00,252.0,432.0,1289.0,0.0,120.0,113.0,114.0,0.0,449.0
2019-01-01 06:00:00+00:00,250.0,446.0,1433.0,0.0,220.0,112.0,111.0,0.0,404.0
2019-01-01 07:00:00+00:00,241.0,560.0,1469.0,0.0,187.0,112.0,112.0,0.0,405.0
2019-01-01 08:00:00+00:00,248.0,888.0,1456.0,0.0,194.0,112.0,115.0,53.0,373.0
2019-01-01 09:00:00+00:00,243.0,1094.0,1432.0,0.0,219.0,181.0,111.0,196.0,341.0
2019-01-01 10:00:00+00:00,247.0,1153.0,1430.0,0.0,219.0,175.0,111.0,303.0,304.0
2019-01-01 11:00:00+00:00,249.0,1077.0,1381.0,0.0,226.0,181.0,113.0,349.0,223.0
2019-01-01 12:00:00+00:00,250.0,1170.0,1427.0,0.0,623.0,125.0,116.0,359.0,149.0
2019-01-01 13:00:00+00:00,255.0,1189.0,1471.0,0.0,458.0,101.0,116.0,351.0,97.0
2019-01-01 14:00:00+00:00,256.0,1146.0,1329.0,0.0,248.0,62.0,114.0,310.0,82.0
2019-01-01 15:00:00+00:00,247.0,1156.0,1315.0,0.0,238.0,63.0,113.0,235.0,104.0
2019-01-01 16:00:00+00:00,251.0,1262.0,1470.0,14.0,255.0,144.0,115.0,88.0,164.0
2019-01-01 17:00:00+00:00,255.0,1383.0,1490.0,783.0,443.0,302.0,111.0,1.0,253.0
2019-01-01 18:00:00+00:00,256.0,1384.0,1624.0,1112.0,733.0,478.0,109.0,0.0,272.0
2019-01-01 19:00:00+00:00,254.0,1387.0,1717.0,1107.0,847.0,770.0,114.0,0.0,285.0
2019-01-01 20:00:00+00:00,258.0,1378.0,1748.0,1406.0,854.0,875.0,115.0,0.0,308.0
2019-01-01 21:00:00+00:00,254.0,1392.0,1661.0,1100.0,713.0,406.0,113.0,0.0,398.0
2019-01-01 22:00:00+00:00,251.0,1190.0,1636.0,107.0,377.0,148.0,112.0,0.0,449.0
2019-01-01 23:00:00+00:00,253.0,946.0,1566.0,0.0,283.0,112.0,113.0,0.0,535.0
2019-01-02 00:00:00+00:00,253.0,626.0,1366.0,0.0,110.0,112.0,112.0,0.0,785.0
2019-01-02 01:00:00+00:00,249.0,641.0,1303.0,0.0,99.0,70.0,114.0,0.0,951.0
2019-01-02 02:00:00+00:00,247.0,666.0,1140.0,0.0,111.0,62.0,112.0,0.0,976.0
2019-01-02 03:00:00+00:00,248.0,671.0,1140.0,0.0,116.0,62.0,109.0,0.0,1074.0
2019-01-02 04:00:00+00:00,249.0,727.0,1139.0,0.0,116.0,62.0,104.0,0.0,1071.0
2019-01-02 05:00:00+00:00,234.0,808.0,1140.0,0.0,117.0,62.0,107.0,0.0,1106.0
2019-01-02 06:00:00+00:00,235.0,940.0,1271.0,0.0,109.0,92.0,114.0,0.0,1047.0
2019-01-02 07:00:00+00:00,237.0,1363.0,1604.0,55.0,375.0,232.0,114.0,0.0,866.0
